seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
000631669c,10,799.0,1,1.0,0.0,1,799.0,10.0,6.684611727667927,2.3978952727983707,0
0007153bca,55,399.0,1,1.0,0.0,1,399.0,55.0,5.991464547107982,4.02535169073515,0
000bee3c3b,0,382.5,1,1.0,0.0,1,382.5,0.0,5.949339620807311,0.0,0
000df2bd02,5,1550.0,1,0.0,0.0,1,1550.0,5.0,7.346655163176539,1.791759469228055,2
000e27cea2,6,457.5,2,1.0,0.0,2,457.5,6.0,6.127960291696519,1.9459101490553128,1
000e60a7db,2286,128.81625,1,1.0,0.0,7,128.81625,2286.0,4.866119989038055,7.734996194022781,0
0010491a4b,1,17000.0,1,1.0,0.0,1,17000.0,1.0,9.741027444837728,0.6931471805599453,0
0010978f04,388,129.56,2,1.0,0.0,2,129.56,388.0,4.871832891215797,5.963579343618446,1
0012fdce4a,2,1449.5,1,1.0,0.0,1,1449.5,2.0,7.279663603561459,1.0986122886681098,0
00143ac49b,4,1070.0,1,1.0,0.0,2,1070.0,4.0,6.976348070447749,1.6094379124341005,0
00150d45aa,2,1471.525,1,1.0,0.0,1,1471.525,2.0,7.294733893310311,1.0986122886681098,0
0016716fd6,41,2399.0,1,1.0,0.0,1,2399.0,41.0,7.783224016336037,3.737669618283368,0
001906a3fe,2,474.5,1,0.0,0.0,1,474.5,2.0,6.164366881985445,1.0986122886681098,2
001988927a,173,1074.0,1,1.0,0.0,1,1074.0,173.0,6.980075940561763,5.159055299214529,0
0020510765,16,112.5,1,1.0,0.0,1,112.5,16.0,4.7318028369214575,2.833213344056216,0
0021be2b0e,1774,235.0,1,1.0,0.0,1,235.0,1774.0,5.4638318050256105,7.4815557019095165,0
00220f246f,157,321.105,1,1.0,0.0,3,321.105,157.0,5.774877579346134,5.062595033026967,0
00224c4a76,1,7900.0,1,1.0,0.0,1,7900.0,1.0,8.974744612722734,0.6931471805599453,0
002483e29c,1,3000.0,1,0.0,0.0,1,3000.0,1.0,8.006700845440367,0.6931471805599453,2
0028bf6d73,1,19990.0,1,0.0,0.0,1,19990.0,1.0,9.903037451255743,0.6931471805599453,2
0029260890,1,426.0,1,1.0,0.0,1,426.0,1.0,6.056784013228625,0.6931471805599453,0
002b9cfe2a,27,229.71,1,1.0,0.0,1,229.71,27.0,5.441161510577517,3.332204510175204,0
002d85b30e,189,2788.9757142857147,2,1.0,0.2857142857142857,4,2788.9757142857147,189.0,7.933788170220435,5.247024072160486,1
002ed196eb,450,1809.1664705882356,1,1.0,0.0,1,1809.1664705882356,450.0,7.501174092731325,6.111467339502679,0
0032d0112b,37,725.0,1,0.0,0.0,1,725.0,37.0,6.587550014824796,3.6375861597263857,2
003426c781,20,1161.61,1,1.0,0.0,1,1161.61,20.0,7.05842275664089,3.044522437723423,0
00368f60af,1,15000.0,1,0.0,0.0,1,15000.0,1.0,9.61587214452889,0.6931471805599453,2
00374db3c1,18,149.0,1,1.0,0.0,1,149.0,18.0,5.010635294096256,2.9444389791664403,0
003a562a8e,200,796.4100000000001,1,1.0,0.0,1,796.4100000000001,200.0,6.681368975626082,5.303304908059076,0
003b36eb22,1408,149.03,2,1.0,0.0,7,149.03,1408.0,5.010835274098922,7.25063551189868,1
003dfc2043,4,720.0,1,1.0,0.0,1,720.0,4.0,6.580639137284949,1.6094379124341005,0
004017d0fa,10,21000.0,1,1.0,0.0,1,21000.0,10.0,9.952325334619427,2.3978952727983707,0
0040e83ed1,1,398.0,1,1.0,0.0,1,398.0,1.0,5.988961416889864,0.6931471805599453,0
004149c724,59,785.4866666666667,1,1.0,0.0,1,785.4866666666667,59.0,6.667575769610408,4.0943445622221,0
0042562fea,3,1200.0,1,0.0,0.0,1,1200.0,3.0,7.090909822079984,1.3862943611198906,2
004286a872,56,534.6033333333334,1,1.0,0.0,3,534.6033333333334,56.0,6.283393837347564,4.04305126783455,0
00436106b8,1,1800.0,1,0.0,0.0,1,1800.0,1.0,7.496097345175956,0.6931471805599453,2
004651fc58,222,582.99,1,1.0,0.0,2,582.99,222.0,6.36988385939395,5.407171771460119,0
0046ecb5dd,7,24999.0,1,1.0,0.0,1,24999.0,7.0,10.126631103850338,2.079441541679836,0
0047388f3c,1,300.0,1,0.0,0.0,1,300.0,1.0,5.707110264748875,0.6931471805599453,2
00484b14b5,23,365.0,1,1.0,0.0,1,365.0,23.0,5.902633333401366,3.1780538303479458,0
0048fd19e8,1,242.0,1,0.0,0.0,1,242.0,1.0,5.493061443340548,0.6931471805599453,2
00499405c6,7,310.15,1,1.0,0.0,1,310.15,7.0,5.740275111015227,2.079441541679836,0
004a939be4,2,2299.0,1,1.0,0.0,1,2299.0,2.0,7.7406644019172415,1.0986122886681098,0
004b2a6a29,13,721.65,1,1.0,0.0,1,721.65,13.0,6.582925010894851,2.6390573296152584,0
004b3006ae,9,279.99,1,1.0,0.0,1,279.99,9.0,5.638319081511895,2.302585092994046,0
004cb3afd3,6,499.0,1,1.0,0.0,1,499.0,6.0,6.214608098422191,1.9459101490553128,0
004f0b0d94,1,3999.0,1,0.0,0.0,1,3999.0,1.0,8.294049640102028,0.6931471805599453,2
004fca247a,1,2899.0,1,0.0,0.0,1,2899.0,1.0,7.972466015974565,0.6931471805599453,2
0052716a37,1451,152.25,2,1.0,0.0,2,152.25,1451.0,5.032070574816321,7.280697195384741,1
0056d9f479,40,315.0,1,1.0,0.0,1,315.0,40.0,5.755742213586912,3.713572066704308,0
0058c6773e,1,750.0,1,1.0,0.0,1,750.0,1.0,6.621405651764134,0.6931471805599453,0
0059380655,187,4967.166666666667,2,0.8333333333333334,0.0,4,4967.166666666667,187.0,8.510806171091387,5.236441962829949,1
005b1913cf,287,2209.7116666666666,2,1.0,0.0,2,2209.7116666666666,287.0,7.701069763790266,5.662960480135946,1
005b4e4d87,11,1289.0,1,0.0,0.0,1,1289.0,11.0,7.162397497355718,2.4849066497880004,2
005cf1d7e3,76,280.0,1,1.0,0.0,1,280.0,76.0,5.638354669333745,4.343805421853684,0
005fed434c,3136,619.714,2,1.0,0.0,11,619.714,3136.0,6.430870428344879,8.051022208190679,6
